Warmup...
Reading trace data...
.........................................
End of trace!
Processing data...
Creating output...
Done!

                                                                   CNT    ACC (ms)    OWN (ms)     
:beam_lib.scan_beam/2                                                2       0.304       0.002     
:v3_kernel.group_value/2                                             2       0.303       0.008     
:v3_codegen.need_heap/2                                             17       0.302       0.115     
:beam_peep.peep/3                                                   66       0.300       0.179     
:lists.any/2                                                        73       0.297       0.196     
:compile.comp_ret_ok/1                                               2       0.297       0.040     
:v3_codegen.clear_dead_reg/3                                        31       0.295       0.122     
:sets.to_list/1                                                      4       0.294       0.008     
:dict.fold_seg/4                                                    68       0.294       0.187     
:beam_validator.tail_call/3                                          5       0.294       0.045     
:sys_pre_expand.expr_bin/2                                           1       0.289       0.004     
:lists.splitwith/3                                                  47       0.288       0.192     
:filename.join1/4                                                  132       0.287       0.274     
:beam_validator.set_type_reg/3                                      11       0.282       0.099     
:filename.split/1                                                    6       0.281       0.044     
:v3_kernel.match_var/4                                               2       0.280       0.007     
:v3_kernel.body/3                                                   14       0.280       0.026     
:beam_except.module/2                                                2       0.279       0.006     
:v3_core.used_in_any/1                                              39       0.278       0.068     
:elixir_compiler.code_mod/6                                          1       0.278       0.009     
:beam_flatten.opt_1/2                                               69       0.278       0.169     
:erl_lint.set_form_file/2                                           10       0.277       0.030     
:beam_type.simplify_float_1/4                                       35       0.277       0.131     
:gb_sets.from_ordset/1                                              29       0.276       0.088     
:beam_reorder.reorder_1/3                                           75       0.275       0.152     
:beam_except."-module/2-lc$^0/1-0-"/1                                9       0.273       0.036     
:gb_sets.is_member/2                                                41       0.272       0.070     
:compile.expand_opts/1                                               4       0.267       0.032     
:elixir_errors.file_format/2                                         1       0.264       0.002     
:v3_core.cclause/3                                                  16       0.263       0.068     
:v3_kernel.atomic/3                                                 20       0.262       0.109     
:elixir_locals.setup/1                                               1       0.262       0.007     
Module.LocalsTracker.reduce_reachable/3                              1       0.262       0.011     
:cerl_sets."-from_list/1-lc$^0/1-0-"/1                             117       0.261       0.255     
:erl_expand_records.forms/2                                         14       0.254       0.046     
:sys_core_fold.var_list/2                                           17       0.252       0.032     
:beam_split.module/2                                                 2       0.252       0.007     
:gb_trees.insert_1/4                                               114       0.248       0.226     
:erl_lint.check_unused_records/2                                     2       0.245       0.024     
:erl_lint.check_undefined_functions/1                                2       0.245       0.023     
:beam_split."-module/2-lc$^0/1-0-"/1                                 9       0.245       0.028     
:erl_lint.exprs/3                                                   10       0.240       0.044     
:v3_codegen.save_stack/4                                            17       0.238       0.126     
Module.LocalsTracker.start_link/0                                    1       0.238       0.002     
:beam_except.function/1                                              7       0.237       0.024     
:io_lib_format.build/1                                               2       0.236       0.006     
:gen_server.start_link/3                                             1       0.236       0.001     
:v3_kernel.select_types/2                                            4       0.235       0.008     
:v3_core.cclauses/3                                                  7       0.235       0.015     
:gen.start/5                                                         1       0.235       0.002     
:gen.do_spawn/5                                                      1       0.233       0.005     
:beam_validator.merge_states_1/2                                     3       0.232       0.071     
:beam_flatten.block/1                                                7       0.232       0.011     
:sys_core_fold.pattern/3                                            15       0.230       0.058     
:sets.from_list/1                                                    4       0.229       0.014     
:gb_trees.lookup/2                                                  47       0.229       0.099     
:lists.usplit_2/5                                                   61       0.228       0.106     
:v3_kernel."-select_types/2-lc$^0/1-0-"/2                           22       0.227       0.060     
:v3_core.new_in_any/1                                               32       0.227       0.062     
:compile.messages_per_file/1                                         2       0.225       0.025     
:sys_pre_expand."-expr_bin/2-anonymous-0-"/2                         6       0.223       0.010     
:beam_validator.index_bs_start_match/2                               9       0.222       0.053     
:beam_clean.bs_restores/2                                          135       0.222       0.222     
:beam_flatten.block/2                                               66       0.221       0.124     
:proc_lib.start_link/5                                               1       0.220       0.005     
:erl_bits.merge_bittype/2                                           18       0.219       0.134     
:beam_split.split_blocks/1                                           7       0.217       0.019     
:sys_pre_expand.bin_element/2                                        6       0.213       0.030     
:beam_jump.share_1/4                                                50       0.213       0.152     
:beam_except.function_1/1                                            7       0.213       0.015     
:beam_clean."-module/2-anonymous-1-"/2                               7       0.213       0.013     
:beam_clean.find_all_used/3                                          9       0.212       0.029     
:sys_core_fold.warn_no_clause_match/2                                7       0.209       0.056     
:v3_life."-match/5-lc$^0/1-1-"/5                                     4       0.208       0.011     
:erl_lint.check_behaviour/1                                          2       0.208       0.004     
:sys_core_fold.letify/2                                             32       0.207       0.118     
:lists.all/2                                                        15       0.206       0.045     
:beam_block.opt/1                                                   32       0.206       0.106     
:dict.on_bucket/3                                                   15       0.205       0.110     
:gb_trees.is_defined/2                                              43       0.204       0.105     
:gb_trees.get/2                                                     47       0.204       0.088     
:erl_lint.behaviour_check/2                                          2       0.204       0.017     
:code.which/1                                                        1       0.204       0.002     
:beam_dict.atom_table/1                                              2       0.204       0.017     
:beam_clean.remove_unused/3                                          9       0.204       0.037     
:v3_core.new_vars_1/4                                               22       0.203       0.042     
:code.is_loaded/1                                                    1       0.202       0.001     
:io_lib_format.build/3                                              25       0.201       0.060     
:v3_core.upattern_list/3                                            26       0.198       0.120     
anonymous fn/2 in :erl_parse.new_anno/1                             32       0.198       0.109     
:beam_split.split_blocks/2                                          69       0.198       0.122     
:beam_except.translate/3                                            71       0.198       0.140     
:v3_life.type_clause/5                                               2       0.197       0.013     
:gb_sets.is_member_1/2                                             121       0.196       0.196     
:erl_lint.is_warn_enabled/2                                         23       0.195       0.041     
